%H2_mol  P=70torr,T=62±1C
14.8496135694  438.844469249
20.365683503  776.379806117
30.2859708084  1530.16828236
40.8827847272  2495.33492678
42.6740757817  2646.12174082
49.0263403744  3188.96883076
53.7489232113  3587.04699045
56.0357190522  3822.35109984
64.6058650101  4171.50968806
69.5701338251  4074.08306136
71.0013224785  3983.23242863
75.3065359556  3783.18632387
80.3275864161  3039.22544012
85.4112422805  1684.98319603
