%O2_molexcess  P= 0.093atm,T=335.15±1K
4.3518652925  4180.72289157
10.4499927421  4102.40963855
16.3729617264  3843.37349398
29.4929114047  3186.74698795
38.4448637925  2638.55421687
40.6861179658  2542.1686747
55.0674989113  1590.36144578
69.9414525572  771.084337349
