equivalence_ratio  300,1atm
0.253318708703  7.6802507837
0.270464320982  11.5203761755
0.289500752219  13.1661442006
0.31998051522  19.7492163009
0.359982967386  27.9780564263
0.40187623851  34.012539185
0.438064246754  40.5956112853
0.474282078642  52.6645768025
0.516208155772  64.7335423197
0.552428970024  77.3510971787
0.592461245833  91.065830721
0.630584808499  103.68338558
0.683966146852  122.884012539
0.693482871288  123.432601881
0.756369004619  140.987460815
0.807784964908  148.667711599
0.826895955251  164.028213166
0.901216473255  184.87460815
1.00599886007  209.012539185
1.09172393911  227.664576803
1.1926501289  242.476489028
1.48780875755  285.26645768
