equivalence_ratio  P=1atm,T=293.15K,H2:CO=20-80%,8mm
0.646692607004  0.307392996109
0.701167315175  0.365758754864
0.79766536965  0.474708171206
0.872373540856  0.570687418936
0.903501945525  0.591439688716
