equivalence_ratio  P=1atm,T=300K,H2:CO=30-70%,8mm
0.543968871595  0.260357090722
0.573540856031  0.309995419332
0.598443579767  0.317725170013
0.648249027237  0.38286125611
0.71673151751  0.468154292992
0.766536964981  0.536395165634
