equivalence_ratio  P=1atm,T=300K,H2:CO=30-70%,6mm.PF
0.307392996109  0.0945570595134
0.347859922179  0.114685821575
0.411673151751  0.189118145987
0.480155642023  0.207658272132
0.551750972763  0.300709248418
0.603112840467  0.378262467218
0.64046692607  0.446519447702
