equivalence_ratio  P=1atm,T=293.15K,H2:CO=40-60%,6mm.PF
0.306145251397  0.0985658409387
0.349441340782  0.123598435463
0.388547486034  0.173663624511
0.500279329609  0.256584093872
0.549162011173  0.342633637549
0.605027932961  0.414602346806
0.641340782123  0.478748370274
