H2volumetric_fraction  T=50C,0%steam_concentration  
0.256504314118  2.20632737276
0.268840815306  2.29986244842
0.315725897211  3.06464924347
0.358287482806  3.48830811554
0.385804051519  3.84594222834
0.389823683881  3.74140302613
0.413084281606  3.85694635488
0.419819932475  3.73590096286
0.463475053145  3.76341127923
0.483899587345  3.71939477304
0.521916343629  3.477303989
0.562562836064  3.09215955983
0.580170063774  2.91609353508
0.597844816806  2.83906464924
0.619475428286  2.56396148556
