H2volumetric_fraction  P=1atm,T=423.15K,5.5%steam_concentration
0.24678858397  2.5969738652
0.252418427402  3.08115543329
0.271559143422  3.12517193948
0.308639817801  3.69738651994
0.321047646966  4.02751031637
0.329405972595  4.50068775791
0.354044993649  4.64374140303
0.378781728941  5.07290233838
0.380177915079  5.16093535076
0.432233296503  5.57909215956
0.434901646861  5.39202200825
0.448491442488  5.18294360385
0.481330943093  5.33700137552
0.505868491668  5.18294360385
0.519465803775  4.99587345254
0.53573898272  4.64374140303
