H2volumetric_fraction  P=1atm,T=423.15K,8.5%steam_concentration
0.27424252674  2.98211829436
0.279718282334  3.015130674
0.304488841786  3.54332874828
0.30865485076  3.74140302613
0.330708202734  4.3136176066
0.362196616081  4.51169188446
0.375805202907  4.35763411279
0.403390684075  5.12792297111
0.406092858592  5.03988995873
0.421090115077  4.95185694635
0.426603453071  5.09491059147
0.434777624943  5.02888583219
0.458024218098  5.09491059147
0.490766004465  4.9628610729
0.518005727558  4.72077028886
0.523395043633  4.50068775791
