equivalence_ratio  P=2atm,T=25C
0.262224004683  90.2045373251
0.434763757764  389.141203378
0.756170263503  1270.53773697
1.05091212591  2092.16644807
1.40984423946  2779.62647821
1.8154719967  2825.41162188
2.20737721799  2796.53576422
2.60988326089  2484.10418722
3.01082844662  1992.56424987
3.51791191996  1680.39281572
4.01101271448  1263.70898685
