equivalence_ratio  P=1atm,T=293.15K
0.49561752988  0.635084427767
0.593625498008  0.944652908068
0.696414342629  1.49061913696
0.794422310757  1.68198874296
0.894820717131  1.88461538462
0.995219123506  1.99718574109
1.09322709163  2.34615384615
1.29641434263  2.61632270169
1.396812749  2.63883677298
1.49721115538  2.71763602251
1.59521912351  2.84146341463
1.69561752988  2.89212007505
1.79362549801  2.81332082552
1.89163346614  2.79643527205
1.99442231076  2.71200750469
2.09960159363  2.59380863039
