equivalence_ratio  60%H2
0.503398058252  0.427184466019
0.605339805825  0.490291262136
0.704854368932  0.626213592233
0.804368932039  0.868932038835
0.903883495146  1.02427184466
1.00825242718  1.21359223301
1.10291262136  1.33980582524
1.20970873786  1.44660194175
1.30194174757  1.5145631068
1.40388349515  1.62621359223
1.50582524272  1.7572815534
1.60533980583  1.84466019417
1.7072815534  1.86893203883
1.80436893204  1.92233009709
1.90631067961  1.90776699029
2.00582524272  1.86893203883
2.10533980583  1.8786407767
