equivalence_ratio  70%H2
0.505825242718  0.456310679612
0.605339805825  0.567961165049
0.702427184466  0.757281553398
0.804368932039  1.05339805825
0.903883495146  1.23300970874
1.00339805825  1.33009708738
1.10048543689  1.39805825243
1.20242718447  1.56796116505
1.30436893204  1.66990291262
1.41359223301  1.76699029126
1.50582524272  1.85922330097
1.60291262136  1.96116504854
1.69757281553  2.05825242718
1.80436893204  1.9854368932
1.90873786408  1.95631067961
2.00582524272  1.90291262136
2.10533980583  1.8932038835
