equivalence_ratio  P=1atm,T=293.15K,20%H2
0.602912621359  0.257281553398
0.702427184466  0.305825242718
0.801941747573  0.402912621359
0.903883495146  0.5
1.00582524272  0.616504854369
1.10291262136  0.699029126214
1.19757281553  0.747572815534
1.30194174757  0.796116504854
1.40388349515  0.912621359223
1.49854368932  0.932038834951
1.60048543689  0.932038834951
1.70242718447  1.04854368932
1.80922330097  1.04854368932
1.90873786408  0.985436893204
2.01067961165  0.970873786408
2.10048543689  0.961165048544
