equivalence_ratio  100%H2
0.396601941748  0.398058252427
0.500970873786  0.621359223301
0.600485436893  0.936893203883
0.7  1.49029126214
0.804368932039  1.68446601942
0.899029126214  1.8786407767
1.00339805825  1.9854368932
1.10291262136  2.33009708738
1.2072815534  2.3786407767
1.30436893204  2.6213592233
1.39902912621  2.63106796117
1.50825242718  2.70873786408
1.60776699029  2.83980582524
1.7072815534  2.88834951456
1.80436893204  2.81553398058
1.90631067961  2.79126213592
2.00582524272  2.70388349515
2.11262135922  2.58737864078
