equivalence_ratio  30%H2
0.607766990291  0.344660194175
0.702427184466  0.417475728155
0.799514563107  0.529126213592
0.908737864078  0.597087378641
1.00582524272  0.791262135922
1.10533980583  0.883495145631
1.20242718447  0.907766990291
1.30194174757  0.932038834951
1.40388349515  1.02912621359
1.50339805825  1.06796116505
1.60533980583  1.10194174757
1.70485436893  1.31067961165
1.80194174757  1.29611650485
1.90873786408  1.2572815534
2.00582524272  1.22815533981
2.10776699029  1.21844660194
