equivalence_ratio  P=1atm,T=293.15K,90%H2
0.503398058252  0.495145631068
0.600485436893  0.76213592233
0.704854368932  1.17475728155
0.804368932039  1.29126213592
0.906310679612  1.45631067961
1.00825242718  1.58737864078
1.09805825243  1.91747572816
1.20242718447  1.97572815534
1.30436893204  2.04854368932
1.40388349515  2.09708737864
1.50825242718  2.15533980583
1.60776699029  2.16504854369
1.7  2.29126213592
1.80922330097  2.1359223301
1.90631067961  2.11165048544
2.00582524272  2.10194174757
2.10533980583  2.07281553398
