equivalence_ratio  P=1atm,T=293.15K,40%H2
0.500970873786  0.364077669903
0.605339805825  0.388349514563
0.704854368932  0.485436893204
0.809223300971  0.631067961165
0.908737864078  0.781553398058
1.00582524272  0.912621359223
1.10776699029  1.00485436893
1.2072815534  1.08737864078
1.30436893204  1.17961165049
1.40631067961  1.23786407767
1.50339805825  1.29611650485
1.60533980583  1.41747572816
1.70485436893  1.53883495146
1.8067961165  1.49029126214
1.90873786408  1.43689320388
2.00339805825  1.38349514563
2.10776699029  1.38349514563
