equivalence_ratio  50%H2
0.500970873786  0.398058252427
0.605339805825  0.417475728155
0.7  0.543689320388
0.806796116505  0.684466019417
0.903883495146  0.883495145631
1.00339805825  1.08737864078
1.10291262136  1.20388349515
1.20485436893  1.30582524272
1.30436893204  1.41262135922
1.40145631068  1.56310679612
1.50097087379  1.63106796117
1.60291262136  1.70388349515
1.7072815534  1.76699029126
1.80436893204  1.84466019417
1.89902912621  1.83009708738
2.00339805825  1.73300970874
2.10291262136  1.64563106796
