%H2  P=15atm,T=300K,Φ=0.8,O2:He=1:9oxidizer
30.0254452926  0.277491961415
39.9491094148  0.347909967846
49.8727735369  0.360450160772
59.9236641221  0.424115755627
69.8473282443  0.465594855305
79.7709923664  0.556270096463
