%H2  P=15atm,T=600K,Φ=0.75,40%CO2,O2:He=1:9oxidizer
50.1305483029  0.592443729904
60.0522193211  0.713022508039
69.9738903394  0.811093247588
80.0261096606  0.970257234727
90.0783289817  1.1615755627
