%H2O,1,390,2,0,0,0,-,0,-
5.18518518519  13.3023376317
9.13580246914  13.6065791281
9.13580246914  12.8434630709
5.18518518519  12.2339751516
16.6666666667  12.0021197668
16.6666666667  11.6205617382
28.5185185185  10.1167520462
37.6543209877  8.23207521247
44.4444444444  7.18742271683
44.4444444444  5.91556262144
46.049382716  5.96602877387
46.049382716  5.7370939567
50  5.50715421304
50  5.02384737679
60  2.14689984102
60  1.40922098569
70  0.847058823529
75.0617283951  0.184404011855
80.1234567901  0.081367642152
