equivalence_ratio  P=1atm,T=300K,0%CO2,H2:CO=95:5
0.600815558344  0.779049295775
0.621518193225  0.840669014085
0.633437892095  0.889084507042
0.65225846926  0.933098591549
0.671079046424  0.981514084507
0.691781681305  1.05193661972
0.711856963614  1.13556338028
0.735696361355  1.22799295775
0.759535759097  1.31161971831
0.787139272271  1.47887323944
0.812860727729  1.5448943662
0.837327478043  1.62852112676
0.862421580928  1.73855633803
0.888770388959  1.83538732394
0.916373902133  1.95422535211
